관리번호,횡단보도폭,횡단보도길이,관할지역
2022120476,11.01,11.13,부림동
2022120477,5.51,6.31,부림동
2022120478,19.19,30.05,부림동
2022120479,5.08,6.05,부림동
2022120480,5.31,6.02,부림동
2022120481,19.56,30.47,범계동
2022120482,4.37,4.74,범계동
2022120483,6.99,10.74,범계동
2022120484,20.61,34.58,범계동
2022120485,13.47,19.47,부림동
2022120486,19.75,31.69,평안동
2022120487,11.47,15.27,범계동
2022120488,6.37,10.18,부림동
2022120489,7.68,12.29,부림동
2022120490,19.71,35.76,부림동
2022120491,14.28,26.58,부림동
2022120492,11.84,17.44,부림동
2022120493,20.8,33.89,부림동
2022120494,17.38,27.96,부림동
2022120495,19.92,31.07,부림동
2022120496,16.66,25.14,부림동
2022120497,7.67,12.42,부림동
2022120498,7.23,10.04,부림동
2022120499,6.48,9.61,부림동
2022120500,7.21,11.6,달안동
2022120501,3.58,6.07,달안동
2022120502,15.12,15.87,달안동
2022120503,13.31,19.36,달안동
2022120504,5.42,8.71,달안동
2022120505,5.92,8.99,달안동
2022120506,5.31,8.64,달안동
2022120507,3.15,3.76,달안동
2022120508,3.84,5.43,달안동
2022120509,6.52,8.35,부흥동
2022120510,7.78,10.42,부흥동
2022120511,7.19,9.61,달안동
2022120512,7.16,9.55,달안동
2022120513,7.08,10.09,달안동
2022120514,4.99,9.21,달안동
2022120515,7.08,10.14,범계동
2022120516,7.62,10.3,범계동
2022120517,5.58,6.15,범계동
2022120518,6.87,9.45,범계동
2022120519,6.54,8.29,범계동
2022120520,6.25,7.85,범계동
2022120521,6.52,8.63,범계동
2022120522,12.41,17.64,달안동
2022120523,12.57,18.52,달안동
2022120524,17.41,30.57,달안동
2022120525,19.38,31.39,달안동
2022120526,14.51,19.03,부림동
2022120527,20.58,31.28,범계동
2022120528,17.51,25.93,범계동
2022120529,20.58,31.96,달안동
2022120530,13.32,20.26,달안동
2022120531,7.29,9.64,범계동
2022120532,8.02,11.89,달안동
2022120533,4.88,9.59,관양2동
2022120534,2.06,5.02,관양2동
2022120535,2.19,8.02,관양2동
2022120536,8.18,8.69,관양2동
2022120537,3.95,4.36,관양2동
2022120538,3.9,10.73,관양2동
2022120539,4.58,8.31,관양2동
2022120540,10.5,30.4,관양2동
2022120541,8.63,11.01,관양2동
2022120542,9.31,14.99,관양2동
2022120543,6.4,9.22,관양2동
2022120544,7.44,7.83,관양2동
2022120545,1.78,7.06,평촌동
2022120546,3.65,8.53,관양2동
2022120547,3.57,7.01,관양2동
2022120548,4.56,8.4,관양2동
2022120549,4.47,9.3,관양2동
2022120550,1.92,6.8,관양2동
2022120551,7.31,10.16,관양2동
2022120552,5.11,9.84,관양2동
2022120553,7.23,14.76,관양2동
2022120554,7.46,12.51,관양2동
2022120555,5.06,5.41,관양2동
2022120556,4.93,13.89,관양2동
2022120557,4.14,9.89,관양2동
2022120558,4.3,9.77,관양2동
2022120559,4.57,12.44,관양2동
2022120560,4.51,4.99,관양2동
2022120561,5.15,6.49,관양2동
2022120562,2.43,7.74,관양2동
2022120563,3.85,7.74,관양2동
2022120564,4.92,9.39,관양2동
2022120565,5.04,19.75,평안동
2022120566,7.31,10.27,관양2동
2022120567,6.19,7.05,관양2동
2022120568,4.13,6.2,관양2동
2022120569,4.45,7.5,관양2동
2022120570,5.95,8.37,관양2동
2022120571,4.1,6.24,관양2동
2022120572,7.65,14.78,관양2동
2022120573,9.94,31.73,관양2동
2022120574,9.5,30.91,평안동
2022120575,8.03,13.86,관양2동
2022120576,10.88,17.06,관양2동
2022120577,7.17,11.31,관양2동
2022120578,9.81,13.08,관양2동
2022120579,10.86,13.83,관양2동
2022120580,7.65,16.36,관양2동
2022120581,8.33,13.7,관양2동
2022120582,4.53,12.52,관양2동
2022120583,6.44,13.26,관양2동
